filepath,label
/kaggle/input/datasets/ayesha19765/damaged-package-detection/dataset/damaged/cardboard-2146-_jpg.rf.01a89d5d82227ffcef31965aef1b4515.jpg,Damaged
/kaggle/input/datasets/ayesha19765/damaged-package-detection/dataset/damaged/cardboard-1727-_jpg.rf.760fe36d789dae0cefa6ce2b9fac8fab.jpg,Damaged
/kaggle/input/datasets/ayesha19765/damaged-package-detection/dataset/damaged/cardboard-48-_png.rf.1cef011b6849d3453b3fdd646a555819.jpg,Damaged
/kaggle/input/datasets/ayesha19765/damaged-package-detection/dataset/damaged/cardboard-1977-_jpg.rf.ae2f064d27b905e0c0e6f62c76cf487e.jpg,Damaged
/kaggle/input/datasets/ayesha19765/damaged-package-detection/dataset/damaged/cardboard-1888-_jpg.rf.a02486749f0c9208dc2256ac7f5ff1f8.jpg,Damaged
/kaggle/input/datasets/ayesha19765/damaged-package-detection/dataset/damaged/cardboard-1337-_jpg.rf.2e24d381f5841931cfa6125d27e53fad.jpg,Damaged
/kaggle/input/datasets/ayesha19765/damaged-package-detection/dataset/damaged/cardboard-337-_png.rf.935afd43cac93785d7e45617ecc95854.jpg,Damaged
/kaggle/input/datasets/ayesha19765/damaged-package-detection/dataset/damaged/cardboard-1746-_jpg.rf.e6662b8842ecc7d4be9a31ecbdc6598b.jpg,Damaged
/kaggle/input/datasets/ayesha19765/damaged-package-detection/dataset/damaged/cardboard-172-_png.rf.efce623d7eb09f5b67e65aa4f4c06f5b.jpg,Damaged
/kaggle/input/datasets/ayesha19765/damaged-package-detection/dataset/damaged/damagedfoodpackagingbox255_jpeg.rf.3ddd315363c07261ca7e5a41d3e585ae.jpg,Damaged
/kaggle/input/datasets/ayesha19765/damaged-package-detection/dataset/damaged/cardboard-1694-_jpg.rf.9dde5eb6a703393eb835ab3fc836ef8e.jpg,Damaged
/kaggle/input/datasets/ayesha19765/damaged-package-detection/dataset/damaged/cardboard-1879-_jpg.rf.756b53c22adbb6f618ecb18f5d0059c6.jpg,Damaged
/kaggle/input/datasets/ayesha19765/damaged-package-detection/dataset/damaged/cardboard-1328-_jpg.rf.479ad71fc5b8c83bc147557472c46ac0.jpg,Damaged
/kaggle/input/datasets/ayesha19765/damaged-package-detection/dataset/damaged/cardboard-507-_png.rf.cd2cbb4308d46e349f87dce9fdb04116.jpg,Damaged
