filepath,label
/kaggle/input/datasets/ayesha19765/damaged-package-detection/dataset/damaged/cardboard-411-_png.rf.c2f4aa7d0ec0c45f7e8d2ba81d68a020.jpg,Damaged
/kaggle/input/datasets/ayesha19765/damaged-package-detection/dataset/damaged/cardboard-514-_jpg.rf.e8dab7773139cf0590c46c21ab92ff44.jpg,Damaged
/kaggle/input/datasets/ayesha19765/damaged-package-detection/dataset/intact/fooditemboxes86.jpeg,Undamaged
/kaggle/input/datasets/ayesha19765/damaged-package-detection/dataset/damaged/cardboard-1021-_png.rf.9be0d367a6285b224e6362e6121a02f6.jpg,Damaged
/kaggle/input/datasets/ayesha19765/damaged-package-detection/dataset/damaged/cardboard-1122-_jpg.rf.402ec7879d0ec2122cc38c9e9d899a53.jpg,Damaged
/kaggle/input/datasets/ayesha19765/damaged-package-detection/dataset/damaged/cardboard-1626-_jpg.rf.e2f6efe5e00daa82bfddf64cde409371.jpg,Damaged
/kaggle/input/datasets/ayesha19765/damaged-package-detection/dataset/intact/fooditemboxes139_jpeg.rf.9505a1cfc6b8e4f00a70bb5a02bb42bd.jpg,Undamaged
/kaggle/input/datasets/ayesha19765/damaged-package-detection/dataset/damaged/cardboard-417-_png.rf.b8b1f22eb748188f9dbfd8dd0939ffcb.jpg,Damaged
/kaggle/input/datasets/ayesha19765/damaged-package-detection/dataset/damaged/cardboard-1247-_jpg.rf.aa10ed6cbc18af97e6df497cd595ac26.jpg,Damaged
/kaggle/input/datasets/ayesha19765/damaged-package-detection/dataset/damaged/cardboard-463-_jpg.rf.acab644e5010834ebb6a2162a004390d.jpg,Damaged
/kaggle/input/datasets/ayesha19765/damaged-package-detection/dataset/damaged/damagedfoodpackagingbox106_jpeg.rf.f1adb9023622cbb77feddeca2dfa09e8.jpg,Damaged
/kaggle/input/datasets/ayesha19765/damaged-package-detection/dataset/damaged/damagedfoodpackagingbox83_jpeg.rf.2221cc1fed5808b249543831066c1396.jpg,Damaged
/kaggle/input/datasets/ayesha19765/damaged-package-detection/dataset/damaged/cardboard-1580-_jpg.rf.4c356cf02a626731eb66cb403908a4f2.jpg,Damaged
/kaggle/input/datasets/ayesha19765/damaged-package-detection/dataset/damaged/cardboard-2159-_jpg.rf.91ce94adf1530226879cc0a7f8a689d3.jpg,Damaged
/kaggle/input/datasets/ayesha19765/damaged-package-detection/dataset/damaged/cardboard-960-_png.rf.5e4a6dcff2552cc7e6b31042e4a826db.jpg,Damaged
/kaggle/input/datasets/ayesha19765/damaged-package-detection/dataset/intact/packagingboxes136_jpeg.rf.15465e7cfef2d236af7e0cd0fc1cb5b4.jpg,Undamaged
/kaggle/input/datasets/ayesha19765/damaged-package-detection/dataset/damaged/cardboard-1894-_jpg.rf.519a8542ef6caae84c17c76702696313.jpg,Damaged
/kaggle/input/datasets/ayesha19765/damaged-package-detection/dataset/damaged/cardboard-1220-_jpg.rf.d774e58a4961f0dc0234a55a7e0c1734.jpg,Damaged
/kaggle/input/datasets/ayesha19765/damaged-package-detection/dataset/damaged/cardboard-1165-_jpg.rf.0e1d58a9c710f6df66bc4fdbedde4c1d.jpg,Damaged
/kaggle/input/datasets/ayesha19765/damaged-package-detection/dataset/damaged/cardboard-572-_png.rf.fbabefceeae2d9d3427136908b97c779.jpg,Damaged
/kaggle/input/datasets/ayesha19765/damaged-package-detection/dataset/damaged/cardboard-1053-_jpg.rf.4178aa210dd33126687048c60beea9e6.jpg,Damaged
/kaggle/input/datasets/ayesha19765/damaged-package-detection/dataset/intact/packagingboxes106_jpeg.rf.bfc141cdc986ddb855724056185ee18d.jpg,Undamaged
/kaggle/input/datasets/ayesha19765/damaged-package-detection/dataset/damaged/cardboard-1046-_jpg.rf.b3b84e97a979d9ca042cd5241ae54618.jpg,Damaged
/kaggle/input/datasets/ayesha19765/damaged-package-detection/dataset/damaged/cardboard-492-_png.rf.7bffb148555cd90934497b7d1d749186.jpg,Damaged
/kaggle/input/datasets/ayesha19765/damaged-package-detection/dataset/damaged/cardboard-159-_jpg.rf.99cc69f6e9c1eada9556b1de6d03ec87.jpg,Damaged
/kaggle/input/datasets/ayesha19765/damaged-package-detection/dataset/damaged/cardboard-1702-_jpg.rf.fa25c600403b02040a30c78e2a988328.jpg,Damaged
/kaggle/input/datasets/ayesha19765/damaged-package-detection/dataset/damaged/cardboard-200-_png.rf.aee8c69f2782011da0ae6f417c475c55.jpg,Damaged
/kaggle/input/datasets/ayesha19765/damaged-package-detection/dataset/damaged/cardboard-1308-_jpg.rf.bd19ecd92e3b08f02813d6418dd68f54.jpg,Damaged
/kaggle/input/datasets/ayesha19765/damaged-package-detection/dataset/damaged/packagingboxeswithdamagesanddents51_jpeg.rf.b065d99260174f709dac0ff094372080.jpg,Damaged
/kaggle/input/datasets/ayesha19765/damaged-package-detection/dataset/damaged/cardboard-361-_png.rf.16fa80bd7f9e3156041580578768b8b5.jpg,Damaged
/kaggle/input/datasets/ayesha19765/damaged-package-detection/dataset/damaged/cardboard-1793-_jpg.rf.c08eee8fab07f5714505a64697f7338e.jpg,Damaged
/kaggle/input/datasets/ayesha19765/damaged-package-detection/dataset/damaged/cardboard-444-_png.rf.5249a31acb48f1311ce9de2cb1fe6e0e.jpg,Damaged
/kaggle/input/datasets/ayesha19765/damaged-package-detection/dataset/intact/medicinepackagingboxes163.jpeg,Undamaged
/kaggle/input/datasets/ayesha19765/damaged-package-detection/dataset/intact/packagingboxes4_jpeg.rf.74c8595217fa500d2ff620cf094b0e41.jpg,Undamaged
/kaggle/input/datasets/ayesha19765/damaged-package-detection/dataset/damaged/cardboard-1569-_jpg.rf.e387de931f23d2eef434a451710ef328.jpg,Damaged
/kaggle/input/datasets/ayesha19765/damaged-package-detection/dataset/damaged/cardboard-1935-_jpg.rf.c2ce73ebc0d9f6a3caa6e1dfc9e40cff.jpg,Damaged
/kaggle/input/datasets/ayesha19765/damaged-package-detection/dataset/intact/packagingboxes239_png.rf.7b6d74f93eaf020065f808d8c8885076.jpg,Undamaged
/kaggle/input/datasets/ayesha19765/damaged-package-detection/dataset/intact/000073_jpg.rf.2f47ac3ef7d206a4db1a7504b5eac2ca.jpg,Undamaged
/kaggle/input/datasets/ayesha19765/damaged-package-detection/dataset/damaged/cardboard-617-_jpg.rf.f69b75a4cdd8f2010b41e345698ff766.jpg,Damaged
/kaggle/input/datasets/ayesha19765/damaged-package-detection/dataset/damaged/cardboard-342-_png.rf.079fffeb7092e4083cee7e4adc79da4f.jpg,Damaged
/kaggle/input/datasets/ayesha19765/damaged-package-detection/dataset/damaged/cardboard-2080-_jpg.rf.889d00e388fbdcae6ee8daa16558fb52.jpg,Damaged
/kaggle/input/datasets/ayesha19765/damaged-package-detection/dataset/damaged/cardboard-168-_jpg.rf.8442d8b9c4a51dd462eb6361fa084863.jpg,Damaged
/kaggle/input/datasets/ayesha19765/damaged-package-detection/dataset/damaged/cardboard-2064-_jpg.rf.c13387cd9a78f108085fdb62ea106783.jpg,Damaged
